Name,Year,Salaries,Rank
Shaquille O'Neal,2000,25370160.0,1
Kevin Garnett,2000,24872880.0,2
Alonzo Mourning,2000,22205920.0,3
Juwan Howard,2000,22200000.0,4
Scottie Pippen,2000,21896600.0,5
Karl Malone,2000,20720000.0,6
Larry Johnson,2000,17626800.0,7
Gary Payton,2000,16309600.0,8
Rasheed Wallace,2000,15984000.0,9
Shawn Kemp,2000,15954400.0,10
Damon Stoudamire,2000,14985000.0,11
Antonio McDyess,2000,14652000.0,12
Ray Allen,2000,13320000.0,14
Antoine Walker,2000,13320000.0,14
Stephon Marbury,2000,13320000.0,14
Vlade Divac,2000,13078760.0,16
Bryant Reeves,2000,12825680.0,17
Tom Gugliotta,2000,12665840.0,18
Nick Van Exel,2000,12363920.0,19
Elden Campbell,2000,11803000.0,20
Terrell Brandon,2000,10952000.0,21
Derrick Coleman,2000,10907600.0,22
Glenn Robinson,2000,10730000.0,23
Steve Smith,2000,10656000.0,24
Kerry Kittles,2000,10605680.0,25
Chris Dudley,2000,10508000.0,26
Theo Ratliff,2000,10405880.0,27
Matt Geiger,2000,10195720.0,28
Jason Kidd,2000,10149840.0,29
Kenny Anderson,2000,9886400.0,30
Tyrone Hill,2000,9504560.0,31
Clifford Robinson,2000,9065000.0,32
Jamal Mashburn,2000,8288000.0,33
Steve Nash,2000,8140000.0,34
Alan Henderson,2000,7870640.0,35
Donyell Marshall,2000,7770000.0,36
Marcus Camby,2000,7770000.0,36
Greg Ostertag,2000,7696000.0,38
Luc Longley,2000,7659000.0,39
P.J. Brown,2000,7583520.0,40
Jermaine O'Neal,2000,7511000.0,41
Erick Dampier,2000,7382240.0,42
Wesley Person,2000,7252000.0,43
Isaac Austin,2000,7132120.0,44
Loy Vaught,2000,7118800.0,45
Derrick McKey,2000,7104000.0,47
Robert Horry,2000,7104000.0,47
Jim McIlvaine,2000,7104000.0,47
Jerry Stackhouse,2000,7075880.0,49
Charlie Ward,2000,6719200.0,50
Dale Davis,2000,6645200.0,51
Lorenzen Wright,2000,6512000.0,52
Mookie Blaylock,2000,6216000.0,53
Chris Mills,2000,6216000.0,53
Chris Childs,2000,6156800.0,55
Darrell Armstrong,2000,6105000.0,56
Bryon Russell,2000,5920000.0,57
Brent Barry,2000,5860800.0,58
Jason Caffey,2000,5826760.0,59
Vitaly Potapenko,2000,5638800.0,60
Bob Sura,2000,5564800.0,61
Walt Williams,2000,5550000.0,62
Scott Williams,2000,5550000.0,62
Sam Cassell,2000,5180000.0,64
Michael Olowokandi,2000,5114880.0,65
Elton Brand,2000,4995000.0,66
Eric Williams,2000,4937280.0,67
Travis Best,2000,4810000.0,68
Michael Stewart,2000,4736000.0,69
Derek Strong,2000,4675320.0,70
Mike Bibby,2000,4576160.0,71
Rick Fox,2000,4488840.0,72
Steve Francis,2000,4469600.0,73
Derek Fisher,2000,4440000.0,74
Eric Snow,2000,4440000.0,74
Ervin Johnson,2000,4367480.0,76
Brent Price,2000,4357120.0,77
Travis Knight,2000,4144000.0,78
Raef LaFrentz,2000,4109960.0,79
Tracy Murray,2000,4025600.0,80
Tyrone Nesby,2000,4019680.0,81
Baron Davis,2000,4013760.0,82
Vonteego Cummings,2000,3848000.0,83
David Wesley,2000,3729600.0,84
Dean Garrett,2000,3729600.0,84
Antawn Jamison,2000,3704440.0,86
Walter McCarty,2000,3700000.0,87
Anthony Peeler,2000,3692600.0,88
Lamar Odom,2000,3618600.0,89
Cedric E. Henderson,2000,3552000.0,90
Lawrence Funderburke,2000,3552000.0,90
Lindsey Hunter,2000,3478000.0,92
Malik Rose,2000,3381800.0,93
Vince Carter,2000,3355160.0,94
Jonathan Bender,2000,3276720.0,95
Dell Curry,2000,3108000.0,96
Robert Traylor,2000,3047320.0,97
Othella Harrington,2000,2997000.0,98
Wally Szczerbiak,2000,2976280.0,99
Terry Porter,2000,2960000.0,102
Rodney Rogers,2000,2960000.0,102
Jamie Feick,2000,2960000.0,102
Eric Montross,2000,2960000.0,102
Chris Crawford,2000,2960000.0,102
Steve Kerr,2000,2912640.0,105
Vinny Del Negro,2000,2849000.0,106
Sean Rooks,2000,2841600.0,107
