Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
1;Michael Jordan;27;CHI;77;891;960;928;82;37;31.5;6;5.5;2.7;1;539;312;851;20.3;321;1991
2;Magic Johnson;31;LAL;10;497;960;518;79;37.1;19.4;7;12.5;1.3;0.2;477;0.32;906;15.4;251;1991
3;David Robinson;25;SAS;6;476;960;496;82;37.7;25.6;13;2.5;1.5;3.9;552;143;762;17;264;1991
4;Charles Barkley;27;PHI;2;222;960;231;67;37.3;27.6;10.1;4.2;1.6;0.5;0.57;284;722;13.4;258;1991
5;Karl Malone;27;UTA;0;142;960;148;82;40.3;29;11.8;3.3;1.1;1;527;286;0.77;15.5;225;1991
6;Clyde Drexler;28;POR;1;75;960;78;82;34.8;21.5;6.7;6;1.8;0.7;482;319;794;12.4;209;1991
7;Kevin Johnson;24;PHO;0;32;960;33;77;36;22.2;3.5;10.1;2.1;0.1;516;205;843;12.7;0.22;1991
8;Dominique Wilkins;31;ATL;0;29;960;0.03;81;38;25.9;9;3.3;1.5;0.8;0.47;341;829;11.4;177;1991
9T;Larry Bird;34;BOS;0;25;960;26;60;38;19.4;8.5;7.2;1.8;1;454;389;891;6.6;0.14;1991
9T;Terry Porter;27;POR;0;25;960;26;81;32.9;17;3.5;8;2;0.1;515;415;823;13;235;1991
11;Patrick Ewing;28;NYK;0;20;960;21;81;38.3;26.6;11.2;3;1;3.2;514;0;745;10;155;1991
12;John Stockton;28;UTA;0;15;960;16;82;37.8;17.2;2.9;14.2;2.9;0.2;507;345;836;14;217;1991
13;Isiah Thomas;29;DET;0;11;960;11;48;34.5;16.2;3.3;9.3;1.6;0.2;435;292;782;3.4;98;1991
14;Robert Parish;37;BOS;0;10;960;0.01;81;30.1;14.9;10.6;0.8;0.8;1.3;598;0;767;10;198;1991
15;Joe Dumars;27;DET;0;8;960;8;80;38.1;20.4;2.3;5.5;1.1;0.1;481;311;0.89;9.9;155;1991
16;Bernard King;34;WSB;0;7;960;7;64;37.5;28.4;5;4.6;0.9;0.3;472;216;0.79;3.5;0.07;1991
17;Kenny Smith;25;HOU;0;5;960;5;78;34.6;17.7;2.1;7.1;1.4;0.1;0.52;363;844;9;161;1991
18;Hakeem Olajuwon;28;HOU;0;4;960;4;56;36.8;21.2;13.8;2.3;2.2;3.9;508;0;769;8.6;201;1991
19T;Tim Hardaway;24;GSW;0;1;960;1;82;39.2;22.9;4;9.7;2.6;0.1;476;385;803;9.9;148;1991
19T;Kevin McHale;33;BOS;0;1;960;1;68;30.4;18.4;7.1;1.9;0.4;2.1;553;405;829;7.9;182;1991
1;Michael Jordan;28;CHI;80;900;960;938;80;38.8;30.1;6.4;6.1;2.3;0.9;519;0.27;832;17.7;274;1992
2;Clyde Drexler;29;POR;12;561;960;584;76;36.2;25;6.6;6.7;1.8;0.9;0.47;337;794;12.8;223;1992
3;David Robinson;26;SAS;2;337;960;351;68;37.7;23.2;12.2;2.7;2.3;4.5;551;125;701;13.9;0.26;1992
4;Karl Malone;28;UTA;1;262;960;273;81;37.7;28;11.2;3;1.3;0.6;526;176;778;15.1;237;1992
5;Patrick Ewing;29;NYK;0;100;960;104;82;38.4;24;11.2;1.9;1.1;3;522;167;738;13;198;1992
6;Chris Mullin;28;GSW;0;81;960;84;81;41.3;25.6;5.6;3.5;2.1;0.8;524;366;833;10.8;155;1992
7;Mark Price;27;CLE;0;66;960;69;72;29.7;17.3;2.4;7.4;1.3;0.2;488;387;947;9.1;205;1992
8;Tim Hardaway;25;GSW;0;64;960;67;81;41.1;23.4;3.8;10;2;0.2;461;338;766;9.2;132;1992
9;Scottie Pippen;26;CHI;1;32;960;33;82;38.6;21;7.7;7;1.9;1.1;506;0.2;0.76;12.7;192;1992
10;Dennis Rodman;30;DET;0;26;960;27;82;40.3;9.8;18.7;2.3;0.8;0.9;539;317;0.6;12.6;183;1992
11;Brad Daugherty;26;CLE;0;24;960;25;73;36.2;21.5;10.4;3.6;0.9;1.1;0.57;0;777;11.7;213;1992
12T;Charles Barkley;28;PHI;0;18;960;19;75;38.4;23.1;11.1;4.1;1.8;0.6;552;234;695;12.3;205;1992
12T;John Stockton;29;UTA;0;18;960;19;82;36.6;15.8;3.3;13.7;3;0.3;482;407;842;13.4;215;1992
14;Larry Bird;35;BOS;0;3;960;3;45;36.9;20.2;9.6;6.8;0.9;0.7;466;406;926;5.5;159;1992
15;Kevin Johnson;25;PHO;0;2;960;2;78;37.2;19.7;3.7;10.7;1.5;0.3;479;217;807;10;165;1992
16T;Danny Manning;25;LAC;0;1;960;1;82;35.4;19.3;6.9;3.5;1.6;1.5;542;0;725;9.8;162;1992
16T;Detlef Schrempf;29;IND;0;1;960;1;80;32.6;17.3;9.6;3.9;0.8;0.5;536;324;828;9.8;181;1992
1;Charles Barkley;29;PHO;59;835;980;852;76;37.6;25.6;12.2;5.1;1.6;1;0.52;305;765;14.4;242;1993
2;Hakeem Olajuwon;30;HOU;22;647;980;0.66;82;39.5;26.1;13;3.5;1.8;4.2;529;0;779;15.8;234;1993
3;Michael Jordan;29;CHI;13;565;980;577;78;39.3;32.6;6.7;5.5;2.8;0.8;495;352;837;17.2;0.27;1993
4;Patrick Ewing;30;NYK;4;359;980;366;81;37.1;24.2;12.1;1.9;0.9;2;503;143;719;10.6;0.17;1993
5;Dominique Wilkins;33;ATL;0;54;980;55;71;37.3;29.9;6.8;3.2;1;0.4;468;0.38;828;10.5;191;1993
6;David Robinson;27;SAS;0;33;980;34;82;39.2;23.4;11.7;3.7;1.5;3.2;501;176;732;13.2;197;1993
7;Shaquille O'Neal;20;ORL;0;30;980;31;81;37.9;23.4;13.9;1.9;0.7;3.5;562;0;592;10.4;163;1993
8T;Karl Malone;29;UTA;0;10;980;0.01;82;37.8;27;11.2;3.8;1.5;1;552;0.2;0.74;15.4;238;1993
8T;Mark Price;28;CLE;0;10;980;0.01;75;31.7;18.2;2.7;8;1.2;0.1;484;416;948;9.8;197;1993
10T;Brad Daugherty;27;CLE;0;1;980;1;71;37.9;20.2;10.2;4.4;0.7;0.8;571;0.5;795;12.7;226;1993
10T;Clyde Drexler;30;POR;0;1;980;1;49;34.1;19.9;6.3;5.7;1.9;0.8;429;233;839;6;171;1993
10T;Joe Dumars;29;DET;0;1;980;1;77;40.2;23.5;1.9;4;1;0.1;466;375;864;9.1;141;1993
10T;Shawn Kemp;23;SEA;0;1;980;1;78;33.1;17.8;10.7;2;1.5;1.9;492;0;712;9.1;169;1993
10T;John Stockton;30;UTA;0;1;980;1;82;34.9;15.1;2.9;12;2.4;0.3;486;385;798;10.6;177;1993
1;Hakeem Olajuwon;31;HOU;66;889;1010;0.88;80;41;27.3;11.9;3.6;1.6;3.7;528;421;716;14.3;0.21;1994
2;David Robinson;28;SAS;24;730;1010;723;80;40.5;29.8;10.7;4.8;1.7;3.3;507;345;749;20;296;1994
3;Scottie Pippen;28;CHI;7;390;1010;386;72;38.3;22;8.7;5.6;2.9;0.8;491;0.32;0.66;11.2;194;1994
4;Shaquille O'Neal;21;ORL;3;289;1010;286;81;39.8;29.3;13.2;2.4;0.9;2.9;599;0;554;16.9;252;1994
5;Patrick Ewing;31;NYK;1;255;1010;252;79;37.6;24.5;11.2;2.3;1.1;2.7;496;286;765;13.1;211;1994
6;Gary Payton;25;SEA;0;20;1010;0.02;82;35.1;16.5;3.3;6;2.3;0.2;504;278;595;9.3;155;1994
7T;Shawn Kemp;24;SEA;0;17;1010;17;79;32.9;18.1;10.8;2.6;1.8;2.1;538;0.25;741;11.7;216;1994
7T;Karl Malone;30;UTA;0;17;1010;17;82;40.6;25.2;11.5;4;1.5;1.5;497;0.25;694;13.4;193;1994
9;Mark Price;29;CLE;0;7;1010;7;76;31.4;17.3;3;7.8;1.4;0.1;478;397;888;10;201;1994
10;Charles Barkley;30;PHO;0;5;1010;5;65;35.4;21.6;11.2;4.6;1.6;0.6;495;0.27;704;8.8;185;1994
11T;Mookie Blaylock;26;ATL;0;1;1010;1;81;36;13.8;5.2;9.7;2.6;0.5;411;334;0.73;10.2;168;1994
11T;Kevin Johnson;27;PHO;0;1;1010;1;67;36.6;20;2.5;9.5;1.9;0.1;487;222;819;8.7;0.17;1994
11T;Dennis Rodman;32;SAS;0;1;1010;1;79;37.8;4.7;17.3;2.3;0.7;0.4;534;208;0.52;8.7;0.14;1994
11T;Latrell Sprewell;23;GSW;0;1;1010;1;82;43.1;21;4.9;4.7;2.2;0.9;433;361;774;8;108;1994
11T;John Stockton;31;UTA;0;1;1010;1;82;36.2;15.1;3.1;12.6;2.4;0.3;528;322;805;13.2;214;1994
11T;Dominique Wilkins;34;TOT;0;1;1010;1;74;35.6;26;6.5;2.3;1.2;0.4;0.44;288;847;8.4;153;1994
11T;Kevin Willis;31;ATL;0;1;1010;1;80;35.8;19.1;12;1.9;1;0.5;499;375;713;10.2;0.17;1994
1;David Robinson;29;SAS;73;901;1050;858;81;38;27.6;10.8;2.9;1.7;3.2;0.53;0.3;774;17.5;273;1995
2;Shaquille O'Neal;22;ORL;12;605;1050;576;79;37;29.3;11.4;2.7;0.9;2.4;583;0;533;14;0.23;1995
3;Karl Malone;31;UTA;14;532;1050;507;82;38.1;26.7;10.6;3.5;1.6;1;536;268;742;13.8;212;1995
4;Patrick Ewing;32;NYK;2;230;1050;219;79;37;23.9;11;2.7;0.9;2;503;286;0.75;9.6;157;1995
5;Hakeem Olajuwon;32;HOU;1;147;1050;0.14;72;39.6;27.8;10.8;3.5;1.8;3.4;517;188;756;10.7;181;1995
6;Charles Barkley;31;PHO;1;96;1050;91;68;35;23;11.1;4.1;1.6;0.7;486;338;748;10.6;214;1995
7;Scottie Pippen;29;CHI;1;83;1050;79;79;38.2;21.4;8.1;5.2;2.9;1.1;0.48;345;716;11.8;188;1995
8;John Stockton;32;UTA;1;47;1050;45;82;35;14.7;3.1;12.3;2.4;0.3;542;449;804;13.9;233;1995
9;Gary Payton;26;SEA;0;34;1050;32;82;36.8;20.6;3.4;7.1;2.5;0.2;509;302;716;11.7;187;1995
10;Anfernee Hardaway;23;ORL;0;23;1050;22;77;37.7;20.9;4.4;7.2;1.7;0.3;512;349;769;10.7;177;1995
11;Michael Jordan;31;CHI;0;12;1050;11;17;39.3;26.9;6.9;5.3;1.8;0.8;411;0.5;801;2.3;167;1995
12;Dennis Rodman;33;SAS;0;9;1050;9;49;32;7.1;16.8;2;0.6;0.5;571;0;676;5.8;178;1995
13;Jason Kidd;21;DAL;0;7;1050;7;79;33.8;11.7;5.4;7.7;1.9;0.3;385;272;698;3.7;66;1995
14;Clyde Drexler;32;TOT;0;3;1050;3;76;35.9;21.8;6.3;4.8;1.8;0.6;461;0.36;824;11.7;206;1995
15;Cedric Ceballos;25;LAL;0;1;1050;1;58;35;21.7;8;1.8;1;0.3;509;397;716;5.2;123;1995
1;Michael Jordan;32;CHI;109;1114;1130;986;82;37.7;30.4;6.6;4.3;2.2;0.5;495;427;834;20.4;317;1996
2;David Robinson;30;SAS;0;574;1130;508;82;36.8;25;12.2;3;1.4;3.3;516;333;761;18.3;0.29;1996
3;Anfernee Hardaway;24;ORL;2;360;1130;319;82;36.8;21.7;4.3;7.1;2;0.5;513;314;767;14.4;229;1996
